id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;4813.88;RIBU ORANG;2010
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2358.42.00;RIBU ORANG;2010
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2186.79;RIBU ORANG;2010
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3205.12.00;RIBU ORANG;2010
5;32;JAWA BARAT;3205;KABUPATEN GARUT;2422.33.00;RIBU ORANG;2010
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1687.78;RIBU ORANG;2010
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1135.72;RIBU ORANG;2010
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1023.91;RIBU ORANG;2010
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;2044.18.00;RIBU ORANG;2010
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1153.23.00;RIBU ORANG;2010
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1101.58.00;RIBU ORANG;2010
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1645.02.00;RIBU ORANG;2010
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;1449.21.00;RIBU ORANG;2010
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;859.186;RIBU ORANG;2010
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2144.19.00;RIBU ORANG;2010
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;2656.88;RIBU ORANG;2010
17;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1522.08.00;RIBU ORANG;2010
18;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;379.518;RIBU ORANG;2010
19;32;JAWA BARAT;3271;KOTA BOGOR;958.077;RIBU ORANG;2010
20;32;JAWA BARAT;3272;KOTA SUKABUMI;301.014;RIBU ORANG;2010
21;32;JAWA BARAT;3273;KOTA BANDUNG;2412.09.00;RIBU ORANG;2010
22;32;JAWA BARAT;3274;KOTA CIREBON;293.206;RIBU ORANG;2010
23;32;JAWA BARAT;3275;KOTA BEKASI;2356.01.00;RIBU ORANG;2010
24;32;JAWA BARAT;3276;KOTA DEPOK;1755.61;RIBU ORANG;2010
25;32;JAWA BARAT;3277;KOTA CIMAHI;545.505;RIBU ORANG;2010
26;32;JAWA BARAT;3278;KOTA TASIKMALAYA;639.987;RIBU ORANG;2010
27;32;JAWA BARAT;3279;KOTA BANJAR;176.506;RIBU ORANG;2010
28;32;JAWA BARAT;3201;KABUPATEN BOGOR;4943.75;RIBU ORANG;2011
29;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2376.05.00;RIBU ORANG;2011
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2201.00.00;RIBU ORANG;2011
31;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3272.83;RIBU ORANG;2011
32;32;JAWA BARAT;3205;KABUPATEN GARUT;2450.43.00;RIBU ORANG;2011
33;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1699.58.00;RIBU ORANG;2011
34;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1142.23.00;RIBU ORANG;2011
35;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1030.02.00;RIBU ORANG;2011
36;32;JAWA BARAT;3209;KABUPATEN CIREBON;2060.04.00;RIBU ORANG;2011
37;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1158.88;RIBU ORANG;2011
38;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1110.08.00;RIBU ORANG;2011
39;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1654.12.00;RIBU ORANG;2011
40;32;JAWA BARAT;3213;KABUPATEN SUBANG;1464.09.00;RIBU ORANG;2011
41;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;872.599;RIBU ORANG;2011
42;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2172.29.00;RIBU ORANG;2011
43;32;JAWA BARAT;3216;KABUPATEN BEKASI;2769.18.00;RIBU ORANG;2011
44;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1545.12.00;RIBU ORANG;2011
45;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;381.729;RIBU ORANG;2011
46;32;JAWA BARAT;3271;KOTA BOGOR;976.791;RIBU ORANG;2011
47;32;JAWA BARAT;3272;KOTA SUKABUMI;304.704;RIBU ORANG;2011
48;32;JAWA BARAT;3273;KOTA BANDUNG;2429.18.00;RIBU ORANG;2011
49;32;JAWA BARAT;3274;KOTA CIREBON;295.981;RIBU ORANG;2011
50;32;JAWA BARAT;3275;KOTA BEKASI;2427.07.00;RIBU ORANG;2011
51;32;JAWA BARAT;3276;KOTA DEPOK;1823.18.00;RIBU ORANG;2011
52;32;JAWA BARAT;3277;KOTA CIMAHI;554.175;RIBU ORANG;2011
53;32;JAWA BARAT;3278;KOTA TASIKMALAYA;644.305;RIBU ORANG;2011
54;32;JAWA BARAT;3279;KOTA BANJAR;177.587;RIBU ORANG;2011
55;32;JAWA BARAT;3201;KABUPATEN BOGOR;5073.12.00;RIBU ORANG;2012
56;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2393.19.00;RIBU ORANG;2012
57;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2213.89;RIBU ORANG;2012
58;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3339.68;RIBU ORANG;2012
59;32;JAWA BARAT;3205;KABUPATEN GARUT;2477.11.00;RIBU ORANG;2012
60;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1710.43.00;RIBU ORANG;2012
61;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1148.78;RIBU ORANG;2012
