kota_kabupaten;jumlah_penduduk;satuan;tahun
KABUPATEN SUKABUMI;2852.11.00;RIBU ORANG;2025
KABUPATEN CIANJUR;2610.32.00;RIBU ORANG;2025
KABUPATEN BANDUNG;3783.21.00;RIBU ORANG;2025
KABUPATEN GARUT;2748.07.00;RIBU ORANG;2025
KABUPATEN KUNINGAN;1225.49.00;RIBU ORANG;2025
KABUPATEN SUMEDANG;1195.53.00;RIBU ORANG;2025
KABUPATEN INDRAMAYU;1932.52.00;RIBU ORANG;2025
KABUPATEN KARAWANG;2581.25.00;RIBU ORANG;2025
KABUPATEN PANGANDARAN;436.49.00;RIBU ORANG;2025
KOTA BOGOR;1083.78;RIBU ORANG;2025
KOTA BANDUNG;2548.78;RIBU ORANG;2025
KOTA CIREBON;347.54.00;RIBU ORANG;2025
KOTA BEKASI;2648.27.00;RIBU ORANG;2025
KOTA CIMAHI;606.38.00;RIBU ORANG;2025
KOTA TASIKMALAYA;759.37.00;RIBU ORANG;2025
