id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,lokasi,alamat,longitude,latitude,bulan,jumlah_pengguna,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,JANUARI,1037,ORANG,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,FEBRUARI,953,ORANG,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,MARET,974,ORANG,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,APRIL,819,ORANG,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,MEI,1132,ORANG,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,JUNI,991,ORANG,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,JULI,592,ORANG,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,AGUSTUS,858,ORANG,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,SEPTEMBER,493,ORANG,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,OKTOBER,737,ORANG,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,NOVEMBER,571,ORANG,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",107.701,-6.9131,DESEMBER,590,ORANG,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,JANUARI,0,ORANG,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,FEBRUARI,0,ORANG,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,MARET,7,ORANG,2017
