id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_lokasi;alamat;satuan;tahun
1;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;RSUD TIPE D BANTAR GEBANG;Jl. Towuti 3 No.7, RT.002/RW.11;Titik Wifi;2022
2;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;RSUD TIPE D BANTAR GEBANG;Jl. Towuti 3 No.7, RT.002/RW.11;Titik Wifi;2022
3;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;TAMAN BANTARGEBANG;Bantargebang (Depan Kantor Kecamatan);Titik Wifi;2022
4;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;TAMAN BANTAR GEBANG;Bantargebang (Depan Kantor Kecamatan);Titik Wifi;2022
5;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;KANTOR KELURAHAN BANTAR GEBANG;Jl. Raya Narogong KM.11;Titik Wifi;2022
6;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 01;Jl Pangkalan Asem RT 001 RW 001;Titik Wifi;2022
7;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 02;JL. Yayasan Nurul Huda Rt.002 Rw.002;Titik Wifi;2022
8;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 03;Gang Ading RT 001 RW 003;Titik Wifi;2022
9;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 04;Jl Mustikasari RT 001 RW 004;Titik Wifi;2022
10;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 05;Jl Pangkalan 1B RT 001 RW 005;Titik Wifi;2022
11;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 06;Jl H Bean RT 002 RW 006;Titik Wifi;2022
12;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 07;Jl Margi Utami RT 002 RW 007;Titik Wifi;2022
13;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 08;Gang Rusam RT 002 RW 008;Titik Wifi;2022
14;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;GEDUNG BARU KEC.BANTARGEBANG;Jl. Belakang Pasar Bantargebang;Titik Wifi;2022
15;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;UPTD KEBERSIHAN BANTARGEBANG;Jl. Raya Narogong Km.10 No.74;Titik Wifi;2022
16;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;KANTOR KELURAHAN CIKETING UDIK;Jl. TPA No.7;Titik Wifi;2022
17;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;GEDUNG 3 PILAR KELURAHAN CIKETING UDIK;JL.PANGKALAN 5 KM 15 NO.2 RT 001/003;Titik Wifi;2022
18;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POS LINMAS KELURAHAN CIKETING UDIK;JL.PANGKALAN 5 KM 15 NO.2 RT 001/003;Titik Wifi;2022
19;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;STADION CIKETING UDIK;CIKETING BARAT RT 001/003;Titik Wifi;2022
