id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,lokasi,alamat,satuan,tahun
1,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TAMAN PRAWATASARI,SURYAKENCANA SAWAH GEDE KOTA CIANJUR,WIFI,2023
2,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DINAS SOSIAL,"JL. RAYA BANDUNG NO.6, BOJONG KEC.KARANGTENGAH",WIFI,2023
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PASAR CIBEBER,PEMKAB CIANJUR RAYA CIBEBERKEC. CIBEBER CIANJUR Indonesia POS CIKONDANG,WIFI,2023
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PASAR WARUNGKONDANG,PEMKAB CIANJUR | GG AL MUNAWARCIKAROYA CIANJUR Indonesia SOLOK PANDAN,WIFI,2023
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MESJID AGUNG CIANJUR,PEMKAB CIANJUR|PAMOYANAN|RUANG TENGAH,WIFI,2023
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BOMERO POS SATPOL PP,PEMKAB CIANJUR|-|RUANG DEPAN,WIFI,2023
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BLOK B PASAR PASIR HAYAM 1,PEMKAB CIANJU | SIRNAGALIH JL.LKR.SELATAN KEC.CILAKU - KAB.CIANJUR,WIFI,2023
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BLOK B PASAR PASIR HAYAM 2,PEMKAB CIANJUR | DESA SIRNAGALIH JL.LKR.SELATAN KEC.CILAKU - KAB.CIANJUR | PASAR BLOK B,WIFI,2023
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BLOK DAGING PASAR PASIR HAYAM,"PEMKAB CIANJUR SIRNAGALIH, JL.LKR.SELATAN KEC.CILAKU-KAB.CIANJUR",WIFI,2023
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KANTOR MU HYPERMART,JL KH ABDULLAH BIN NUH (SAMPING GALERY INDOSAT),WIFI,2023
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEDESTARIAN PENDOPO 1,"JALAN SILIWANGI, SAWAH GEDE, CIANJUR",WIFI,2023
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEDESTARIAN PENDOPO 2,"JALAN SILIWANGI, SAWAH GEDE, CIANJUR",WIFI,2023
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALUN-ALUN CIANJUR POS PEGADAIAN,PEMKAB CIANJUR|PAMOYANAN|RUANG PROGRAM,WIFI,2023
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEPAN KANTOR KEC SINDANGBARANG,"PEMKAB CIANJUR | JL.RAYA SINDANGBARANG, SAGANTEN, KAB.CIANJUR",WIFI,2023
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PASAR RAMAYANA LANTAI 1 CIANJUR,"PEMKAB CIANJUR | DR.MUWARDI, PASAR KOTA CIANJUR MUKA II",WIFI,2023
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUANG TUNGGU RSUD CIMACAN,"PEMKAB CIANJUR | RAYA CIMACANPALASARI, KEC.CIPANAS - KAB.CIANJUR NO. 17A",WIFI,2023
