id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kepemilikan,jumlah_lokasi_free_wifi,satuan,tahun
1,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2024
2,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,45,LOKASI,2024
3,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2024
4,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2024
5,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,8,LOKASI,2024
6,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2024
7,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2024
8,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,3,LOKASI,2024
9,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2024
10,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2024
11,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,37,LOKASI,2024
12,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2024
13,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2024
14,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,14,LOKASI,2024
15,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2024
16,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2023
17,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,45,LOKASI,2023
18,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2023
19,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2023
20,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,8,LOKASI,2023
21,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2023
22,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2023
23,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,3,LOKASI,2023
24,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2023
25,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2023
26,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,37,LOKASI,2023
27,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2023
28,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2023
29,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,14,LOKASI,2023
30,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2023
31,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2022
32,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,48,LOKASI,2022
33,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2022
34,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2022
35,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,2,LOKASI,2022
36,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2022
37,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2022
38,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,1,LOKASI,2022
39,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2022
40,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2022
41,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,36,LOKASI,2022
42,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2022
43,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2022
44,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,12,LOKASI,2022
45,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2022
46,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2021
47,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,45,LOKASI,2021
48,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2021
49,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2021
50,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,2,LOKASI,2021
51,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2021
52,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2021
