id_wifi;provinsi;kota_kabupaten;kecamatan;nama_lokasi;alamat;longitude;latitude;tahun;;
1;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
2;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
3;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
4;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
5;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
6;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
7;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
8;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
9;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
10;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
11;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
12;JAWA BARAT;KOTA BANDUNG;KECAMATAN UJUNGBERUNG;ALUN ALUN UJUNGBERUNG;JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT;107.701;-69.131;2017;;
