id_wifi;provinsi;kota_kabupaten;kecamatan;nama_lokasi;alamat;tahun;key_kec;lat_kec;lon_kec;lat_kot;lon_kot
1;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;2017;KOTA BANDUNG_KECAMATAN ANDIR;-69.082.772;1.075.741.277;-69.218.457;1.076.070.833
2;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;2017;KOTA BANDUNG_KECAMATAN ANTAPANI;-69.038.407;1.076.644.191;-69.218.457;1.076.070.833
3;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;2017;KOTA BANDUNG_KECAMATAN BOJONGLOA KALER;-69.387.537;1.075.936.624;-69.218.457;1.076.070.833
4;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;2017;KOTA BANDUNG_KECAMATAN SUMUR BANDUNG;-69.133.361;1.076.180.033;-69.218.457;1.076.070.833
5;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KIDUL;KECAMATAN BANDUNG KIDUL;JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA;2017;KOTA BANDUNG_KECAMATAN BANDUNG KIDUL;-6.941.212;1.075.973.587;-69.218.457;1.076.070.833
6;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KULON;KECAMATAN BANDUNG KULON;JL. HOLIS NO.210, CARINGIN, BANDUNG KULON, KOTA BANDUNG, JAWA BARAT 40212, INDONESIA;2017;KOTA BANDUNG_KECAMATAN BANDUNG KULON;-69.415.462;1.076.855.076;-69.218.457;1.076.070.833
7;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG WETAN;KECAMATAN BANDUNG WETAN;JL. TAMAN SARI NO.49, LB. SILIWANGI, COBLONG, KOTA BANDUNG, JAWA BARAT 40132, INDONESIA;2017;KOTA BANDUNG_KECAMATAN BANDUNG WETAN;-68.969.431;1.076.095.714;-69.218.457;1.076.070.833
8;JAWA BARAT;KOTA BANDUNG;BANDUNG WETAN;BEER POINT TRAFFIC CAFE;PASTEUR 11 A;2017;KOTA BANDUNG_BANDUNG WETAN;-69.020.925;1.076.198.013;-69.218.457;1.076.070.833
9;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG WETAN;BEER POINT TRAFFIC CAFE;PASTEUR 11 A;2017;KOTA BANDUNG_KECAMATAN BANDUNG WETAN;-68.969.431;1.076.095.714;-69.218.457;1.076.070.833
10;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;KECAMATAN BOJONGLOA KALER;JALAN K. HAJI WAHID HASYIM NO. 258, SUKA ASIH, BOJONGLOA KALER, SUKA ASIH, BOJONGLOA KALER, KOTA BANDUNG, JAWA BARAT 40233, INDONESIA;2017;KOTA BANDUNG_KECAMATAN BOJONGLOA KALER;-69.387.537;1.075.936.624;-69.218.457;1.076.070.833
