id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_wifi_publik,satuan,tahun
1,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202010,CIEMAS,32.02.22,CIEMAS,2,TITIK,2024
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202020,CIRACAP,32.02.26,CIRACAP,4,TITIK,2024
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202021,WALURAN,32.02.20,WALURAN,0,TITIK,2024
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202030,SURADE,32.02.24,SURADE,0,TITIK,2024
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202031,CIBITUNG,32.02.25,CIBITUNG,0,TITIK,2024
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202040,JAMPANG KULON,32.02.21,JAMPANGKULON,2,TITIK,2024
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202041,CIMANGGU,32.02.46,CIMANGGU,0,TITIK,2024
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202050,KALI BUNDER,32.02.23,KALIBUNDER,0,TITIK,2024
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202060,TEGAL BULEUD,32.02.45,TEGALBULEUD,0,TITIK,2024
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202070,CIDOLOG,32.02.43,CIDOLOG,0,TITIK,2024
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202080,SAGARANTEN,32.02.41,SAGARANTEN,0,TITIK,2024
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202081,CIDADAP,32.02.44,CIDADAP,0,TITIK,2024
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202082,CURUGKEMBAR,32.02.42,CURUGKEMBAR,0,TITIK,2024
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202090,PABUARAN,32.02.37,PABUARAN,0,TITIK,2024
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202100,LENGKONG,32.02.07,LENGKONG,0,TITIK,2024
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,14,TITIK,2024
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202111,SIMPENAN,32.02.02,SIMPENAN,0,TITIK,2024
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202120,WARUNG KIARA,32.02.09,WARUNGKIARA,0,TITIK,2024
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202121,BANTARGADUNG,32.02.04,BANTARGADUNG,0,TITIK,2024
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202130,JAMPANG TENGAH,32.02.08,JAMPANGTENGAH,0,TITIK,2024
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202131,PURABAYA,32.02.38,PURABAYA,0,TITIK,2024
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202140,CIKEMBAR,32.02.10,CIKEMBAR,0,TITIK,2024
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202150,NYALINDUNG,32.02.39,NYALINDUNG,0,TITIK,2024
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202160,GEGER BITUNG,32.02.40,GEGERBITUNG,0,TITIK,2024
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202170,SUKARAJA,32.02.33,SUKARAJA,2,TITIK,2024
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202171,KEBONPEDES,32.02.34,KEBONPEDES,3,TITIK,2024
